experiment,arm,estimator_family,m,n,d,L,T_per_seed,rmse_raw,rmse_clip,rmse_tpm,dRMSE_clip_pct,dRMSE_tpm_pct,ci_clip_lo,ci_clip_hi,ci_tpm_lo,ci_tpm_hi,z_clip,z_tpm,bind_rate,a_std,clip_worse_than_raw
exp2,ideal,ideal,1024,1024,1.02,1044,,0.025307,0.020656,0.021263,18.38,15.981,,,,,-12.701,-8.981,0.1953,,False
exp2,ideal,ideal,1024,1024,1.1,1126,,0.024685,0.024685,0.02339,0.0,5.246,,,,,0.0,-12.343,0.0,,False
exp2,ideal,ideal,1024,2048,1.0,2048,,0.025763,0.017115,0.028277,33.567,-9.756,,,,,-17.133,5.381,0.5093,,False
exp2,ideal,ideal,1024,2048,1.02,2089,,0.026186,0.020683,0.020893,21.016,20.214,,,,,-13.297,-10.533,0.246,,False
exp2,ideal,ideal,1024,2048,1.1,2253,,0.025485,0.025469,0.024065,0.065,5.574,,,,,-1.0,-10.629,0.0007,,False
exp2,ideal,ideal,1024,4096,1.0,4096,,0.029355,0.019338,0.029247,34.123,0.369,,,,,-17.499,-0.201,0.5167,,False
exp2,ideal,ideal,1024,4096,1.02,4178,,0.028797,0.022505,0.022696,21.847,21.185,,,,,-12.596,-10.654,0.25,,False
exp2,ideal,ideal,1024,4096,1.1,4506,,0.028712,0.028712,0.026886,0.0,6.359,,,,,0.0,-13.823,0.0,,False
exp2,ideal,ideal,1024,8192,1.0,8192,,0.030118,0.021525,0.030772,28.533,-2.17,,,,,-16.695,1.322,0.486,,False
exp2,ideal,ideal,1024,8192,1.02,8356,,0.0305,0.023804,0.024049,21.955,21.15,,,,,-13.068,-11.098,0.2373,,False
exp2,ideal,ideal,1024,8192,1.1,9011,,0.030014,0.029996,0.028387,0.061,5.421,,,,,-1.0,-11.983,0.0007,,False
exp2,ideal,ideal,1024,16384,1.0,16384,,0.031922,0.021251,0.030406,33.426,4.747,,,,,-17.244,-2.582,0.4947,,False
exp2,ideal,ideal,1024,16384,1.02,16712,,0.031639,0.023514,0.023336,25.68,26.242,,,,,-14.407,-13.013,0.2713,,False
exp2,ideal,ideal,1024,16384,1.1,18022,,0.032152,0.03211,0.030054,0.129,6.527,,,,,-1.0,-11.885,0.0007,,False
exp2,ideal,ideal,1024,32768,1.0,32768,,0.032264,0.021584,0.030525,33.103,5.39,,,,,-15.971,-2.773,0.5113,,False
exp2,ideal,ideal,1024,32768,1.02,33423,,0.032592,0.025902,0.025852,20.527,20.678,,,,,-13.183,-11.785,0.2527,,False
exp2,ideal,ideal,1024,32768,1.1,36045,,0.03201,0.031978,0.030165,0.101,5.765,,,,,-1.805,-11.435,0.0027,,False
exp2,ideal,ideal,4096,205,1.0,205,,0.011245,0.008492,0.014377,24.483,-27.858,,,,,-19.672,21.831,0.5967,,False
exp2,ideal,ideal,4096,205,1.02,209,,0.011027,0.010884,0.008886,1.304,19.415,,,,,-5.358,-16.44,0.0373,,False
exp2,ideal,ideal,4096,205,1.1,226,,0.011243,0.011243,0.011253,0.0,-0.086,,,,,0.0,1.424,0.0,,False
exp2,ideal,ideal,4096,410,1.0,410,,0.010855,0.007851,0.014067,27.669,-29.592,,,,,-19.114,20.748,0.4753,,False
exp2,ideal,ideal,4096,410,1.02,418,,0.011109,0.01083,0.008876,2.506,20.098,,,,,-5.316,-14.958,0.0327,,False
exp2,ideal,ideal,4096,410,1.1,451,,0.011215,0.011215,0.011218,0.0,-0.023,,,,,0.0,0.385,0.0,,False
exp2,ideal,ideal,4096,1024,1.0,1024,,0.011496,0.008398,0.014377,26.942,-25.068,,,,,-18.327,17.372,0.4767,,False
exp2,ideal,ideal,4096,1024,1.02,1044,,0.01142,0.011137,0.009138,2.477,19.982,,,,,-5.729,-15.265,0.036,,False
exp2,ideal,ideal,4096,1024,1.1,1126,,0.011587,0.011587,0.011605,0.0,-0.151,,,,,0.0,2.581,0.0,,False
exp2,ideal,ideal,4096,2048,1.0,2048,,0.012195,0.008705,0.014515,28.62,-19.03,,,,,-17.038,11.909,0.4827,,False
exp2,ideal,ideal,4096,2048,1.02,2089,,0.01212,0.01146,0.009243,5.444,23.736,,,,,-7.024,-14.861,0.0587,,False
exp2,ideal,ideal,4096,2048,1.1,2253,,0.01184,0.01184,0.01185,0.0,-0.083,,,,,0.0,1.451,0.0,,False
exp2,ideal,ideal,4096,4096,1.0,4096,,0.012503,0.00863,0.014434,30.977,-15.442,,,,,-17.323,9.218,0.4713,,False
exp2,ideal,ideal,4096,4096,1.02,4178,,0.013023,0.012278,0.010019,5.719,23.066,,,,,-6.789,-15.585,0.042,,False
exp2,ideal,ideal,4096,4096,1.1,4506,,0.012694,0.012694,0.012703,0.0,-0.07,,,,,0.0,1.313,0.0,,False
exp2,ideal,ideal,4096,8192,1.0,8192,,0.013157,0.008796,0.01436,33.141,-9.15,,,,,-17.736,5.236,0.528,,False
exp2,ideal,ideal,4096,8192,1.02,8356,,0.012781,0.01203,0.009556,5.876,25.23,,,,,-7.024,-15.871,0.0627,,False
exp2,ideal,ideal,4096,8192,1.1,9011,,0.013547,0.013547,0.01357,0.0,-0.166,,,,,0.0,3.316,0.0,,False
exp2,ideal,ideal,4096,16384,1.0,16384,,0.014279,0.009653,0.014823,32.398,-3.811,,,,,-18.079,2.236,0.512,,False
exp2,ideal,ideal,4096,16384,1.02,16712,,0.014893,0.013371,0.010565,10.223,29.062,,,,,-9.204,-16.775,0.1047,,False
exp2,ideal,ideal,4096,16384,1.1,18022,,0.014582,0.014582,0.014603,0.0,-0.143,,,,,0.0,3.1,0.0,,False
exp2,ideal,ideal,4096,32768,1.0,32768,,0.014713,0.01056,0.015436,28.226,-4.912,,,,,-17.195,3.1,0.4827,,False
exp2,ideal,ideal,4096,32768,1.02,33423,,0.015161,0.01396,0.011843,7.917,21.885,,,,,-7.826,-14.499,0.0867,,False
exp2,ideal,ideal,4096,32768,1.1,36045,,0.014883,0.014883,0.01489,0.0,-0.043,,,,,0.0,0.957,0.0,,False
exp2,ideal,ideal,4096,65536,1.0,65536,,0.015941,0.011292,0.015822,29.159,0.742,,,,,-16.183,-0.432,0.4913,,False
exp2,ideal,ideal,4096,65536,1.02,66847,,0.015828,0.014431,0.012046,8.825,23.895,,,,,-8.343,-15.491,0.1067,,False
exp2,ideal,ideal,4096,65536,1.1,72090,,0.015487,0.015487,0.015473,0.0,0.091,,,,,0.0,-2.1,0.0,,False
exp2,ideal,ideal,4096,131072,1.0,131072,,0.015623,0.011089,0.015648,29.025,-0.158,,,,,-18.452,0.103,0.5007,,False
exp2,ideal,ideal,4096,131072,1.02,133693,,0.016102,0.014857,0.012448,7.731,22.69,,,,,-9.161,-16.905,0.1073,,False
exp2,ideal,ideal,4096,131072,1.1,144179,,0.015633,0.015633,0.015638,0.0,-0.03,,,,,0.0,0.702,0.0,,False
exp2,ideal,ideal,16384,819,1.0,819,,0.005477,0.003992,0.007082,27.105,-29.297,,,,,-17.568,19.649,0.5327,,False
