POOLED exp2 over 3 seeds (T=1500 trials/cell). z = mean(err_x^2 - err_raw^2)/SE

       arm      m    n/m     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |   z_clip    z_tpm |  bind%
xxh64-ints  16384   0.50  1.10 |   0.00609   0.00609   0.00610 |    0.00   -0.04 |     0.00     1.49 |   0.00
xxh64-ints  16384   1.00  1.00 |   0.00753   0.00494   0.00737 |   34.44    2.08 |   -26.55    -1.55 |  50.13
xxh64-ints  16384   1.00  1.02 |   0.00760   0.00760   0.00690 |    0.00    9.17 |     0.00   -21.23 |   0.00
xxh64-ints  16384   1.00  1.10 |   0.00765   0.00765   0.00765 |    0.00   -0.04 |     0.00     1.81 |   0.00
xxh64-ints  16384   2.00  1.00 |   0.00657   0.00417   0.00701 |   36.42   -6.76 |   -19.05     3.78 |  54.07
xxh64-ints  16384   2.00  1.02 |   0.00642   0.00642   0.00576 |    0.07   10.27 |    -1.04   -13.99 |   0.13
xxh64-ints  16384   2.00  1.10 |   0.00639   0.00639   0.00640 |    0.00   -0.14 |     0.00     5.42 |   0.00
xxh64-ints  16384   4.00  1.00 |   0.00730   0.00460   0.00717 |   37.02    1.72 |   -17.96    -0.90 |  56.20
xxh64-ints  16384   4.00  1.02 |   0.00703   0.00697   0.00619 |    0.80   11.94 |    -2.16   -12.83 |   0.53
xxh64-ints  16384   4.00  1.10 |   0.00723   0.00723   0.00724 |    0.00   -0.12 |     0.00     5.14 |   0.00
xxh64-ints  16384   8.00  1.00 |   0.00768   0.00541   0.00776 |   29.48   -1.08 |   -17.43     0.66 |  49.67
xxh64-ints  16384   8.00  1.02 |   0.00762   0.00761   0.00693 |    0.21    9.15 |    -1.34   -13.78 |   0.20
xxh64-ints  16384   8.00  1.10 |   0.00773   0.00773   0.00773 |    0.00   -0.01 |     0.00     0.55 |   0.00
xxh64-ints  16384  16.00  1.00 |   0.00801   0.00514   0.00749 |   35.84    6.50 |   -18.36    -3.51 |  53.80
xxh64-ints  16384  16.00  1.02 |   0.00798   0.00792   0.00702 |    0.76   11.95 |    -3.05   -14.34 |   1.00
xxh64-ints  16384  16.00  1.10 |   0.00798   0.00798   0.00799 |    0.00   -0.07 |     0.00     3.21 |   0.00
xxh64-ints  16384  32.00  1.00 |   0.00786   0.00470   0.00718 |   40.19    8.65 |   -19.39    -4.46 |  55.93
xxh64-ints  16384  32.00  1.02 |   0.00791   0.00783   0.00683 |    0.96   13.55 |    -2.90   -14.49 |   1.07
xxh64-ints  16384  32.00  1.10 |   0.00768   0.00768   0.00769 |    0.00   -0.18 |     0.00     8.30 |   0.00
     ideal   1024   0.05  1.00 |   0.02253   0.01750   0.02840 |   22.33  -26.08 |   -26.40    26.34 |  64.20
     ideal   1024   0.05  1.02 |   0.02209   0.02026   0.02079 |    8.29    5.89 |   -24.02    -5.72 |  27.80
     ideal   1024   0.05  1.10 |   0.02150   0.02150   0.02094 |    0.00    2.61 |     0.00   -31.19 |   0.00
     ideal   1024   0.10  1.00 |   0.02219   0.01580   0.02765 |   28.80  -24.60 |   -20.43    17.56 |  46.13
     ideal   1024   0.10  1.02 |   0.02189   0.01900   0.01984 |   13.21    9.35 |   -13.07    -6.16 |  26.20
     ideal   1024   0.10  1.10 |   0.02189   0.02189   0.02109 |    0.00    3.64 |     0.00   -21.13 |   0.00
     ideal   1024   0.25  1.00 |   0.02348   0.01665   0.02831 |   29.10  -20.54 |   -16.92    12.67 |  49.13
     ideal   1024   0.25  1.02 |   0.02311   0.01985   0.02089 |   14.11    9.59 |   -13.02    -6.33 |  19.87
     ideal   1024   0.25  1.10 |   0.02318   0.02318   0.02230 |    0.00    3.79 |     0.00   -13.99 |   0.00
     ideal   1024   0.50  1.00 |   0.02445   0.01734   0.02851 |   29.05  -16.64 |   -17.14    10.37 |  53.60
     ideal   1024   0.50  1.02 |   0.02402   0.02003   0.02091 |   16.62   12.98 |   -13.26    -7.88 |  22.87
     ideal   1024   0.50  1.10 |   0.02375   0.02375   0.02266 |    0.00    4.62 |     0.00   -12.71 |   0.00
     ideal   1024   1.00  1.00 |   0.02454   0.01701   0.02823 |   30.69  -15.05 |   -17.88     9.28 |  51.33
