exp1 real-hash  (m=1024, T=1000, seed=31337)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
   urls-sha256   2000  1.10 |   0.03306   0.03306   0.03087 |    0.00    6.64 |     0.0   -11.5 |   0.00
   urls-sha256   2000  2.00 |   0.03155   0.03155   0.03162 |    0.00   -0.21 |     0.0     2.0 |   0.00
   urls-sha256   8000  1.00 |   0.03056   0.02012   0.02972 |   34.15    2.74 |   -13.9    -1.2 |  51.30
   urls-sha256   8000  1.02 |   0.03094   0.02339   0.02317 |   24.38   25.11 |   -11.7   -10.5 |  27.80
   urls-sha256   8000  1.10 |   0.02947   0.02946   0.02753 |    0.05    6.58 |    -1.4    -8.9 |   0.20
   urls-sha256   8000  2.00 |   0.03059   0.03059   0.03069 |    0.00   -0.33 |     0.0     3.0 |   0.00
   urls-sha256  32000  1.00 |   0.03046   0.02248   0.03147 |   26.17   -3.32 |   -13.0     1.7 |  46.10
   urls-sha256  32000  1.02 |   0.03027   0.02457   0.02472 |   18.82   18.34 |   -10.7    -9.0 |  24.80
   urls-sha256  32000  1.10 |   0.03185   0.03178   0.02989 |    0.23    6.16 |    -1.2    -8.3 |   0.20
   urls-sha256  32000  2.00 |   0.03031   0.03031   0.03028 |    0.00    0.09 |     0.0    -0.8 |   0.00
    ints-xxh64   2000  1.00 |   0.03174   0.02019   0.02956 |   36.40    6.89 |   -13.1    -2.7 |  52.70
    ints-xxh64   2000  1.02 |   0.03334   0.02483   0.02442 |   25.53   26.75 |   -11.5   -10.8 |  28.80
    ints-xxh64   2000  1.10 |   0.03166   0.03166   0.02956 |    0.02    6.64 |    -1.0   -10.0 |   0.10
    ints-xxh64   2000  2.00 |   0.03214   0.03214   0.03229 |    0.00   -0.46 |     0.0     4.4 |   0.00
    ints-xxh64   8000  1.00 |   0.03064   0.02321   0.03206 |   24.26   -4.65 |   -12.2     2.4 |  45.00
    ints-xxh64   8000  1.02 |   0.03031   0.02543   0.02596 |   16.13   14.37 |   -10.1    -7.7 |  21.50
    ints-xxh64   8000  1.10 |   0.03113   0.03102   0.02943 |    0.37    5.45 |    -1.4    -7.4 |   0.20
    ints-xxh64   8000  2.00 |   0.02884   0.02884   0.02878 |    0.00    0.19 |     0.0    -1.6 |   0.00
    ints-xxh64  32000  1.00 |   0.03184   0.02500   0.03335 |   21.48   -4.73 |   -11.8     2.7 |  41.80
    ints-xxh64  32000  1.02 |   0.03268   0.02851   0.02896 |   12.75   11.38 |   -10.2    -7.7 |  20.90
